wavelength_nm,reflectance_percent
355,89.86616
360,94.03282
365,96.35069
370,97.73038
375,98.7378
380,99.27262
385,99.61139
390,99.83336
395,99.98451
400,100
405,100
410,100
415,100
420,100
425,100
430,100
435,100
440,100
445,100
450,100
455,100
460,100
465,100
470,99.8581
475,99.7
480,99.55
485,99.7
490,99.85
495,99.96139
500,100
505,100
510,100
515,100
520,100
525,99.69955
530,99.5
535,99.6
540,100
545,100
550,100
555,100
560,100
565,100
570,100
575,100
580,100
585,99.98408
590,99.80088
595,99.7
600,99.5
605,99.8015
610,99.97828
615,99.99656
620,99.99853
625,99.89256
630,99.52305
635,99.5
640,99.57037
645,99.90205
650,99.97558
655,100
660,99.98458
665,99.91355
670,99.76392
675,99.6
680,99.5
685,99.72076
690,99.89951
695,99.97492
700,100
705,100
710,99.99066
715,99.97775
720,99.8977
725,99.76441
730,99.55025
735,99.58728
740,99.82101
745,99.97437
750,100.00092
755,99.98213
760,99.94057
765,99.79456
770,99.55741
775,99.59167
780,99.78053
785,99.83107
790,99.8014
795,99.71182
800,99.61662
805,99.66281
810,99.79513
815,99.86205
820,99.92924
825,99.91077
830,99.83004
835,99.7296
840,99.64966
845,99.62038
850,99.66747
855,99.78142
860,99.80336
865,99.8402
870,99.87522
875,99.87548
880,99.87094
885,99.77342
890,98.5869
895,97.4609
900,95.76357
905,94.10064
910,93.09945
915,91.84163
920,89.00356
